2017-09-01 17:44:20,330 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@73d538e8: startup date [Fri Sep 01 17:44:20 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-09-01 17:44:22,870 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\MyProject\OnGithub\activeMQ\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-09-01 17:44:27,297 | INFO  | PListStore:[D:\MyProject\OnGithub\activeMQ\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2017-09-01 17:44:27,504 | INFO  | Apache ActiveMQ 5.15.0 (localhost, ID:x250-2-PC-61240-1504259067321-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-09-01 17:44:27,577 | INFO  | Listening for connections at: tcp://x250-2-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-09-01 17:44:27,581 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-09-01 17:44:27,598 | INFO  | Listening for connections at: amqp://x250-2-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-09-01 17:44:27,601 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-09-01 17:44:27,708 | INFO  | Listening for connections at: stomp://x250-2-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-09-01 17:44:27,713 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-09-01 17:44:27,726 | INFO  | Listening for connections at: mqtt://x250-2-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-09-01 17:44:27,731 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-09-01 17:44:28,023 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@559edebd{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2017-09-01 17:44:28,417 | INFO  | Listening for connections at ws://x250-2-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2017-09-01 17:44:28,418 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-09-01 17:44:28,420 | INFO  | Apache ActiveMQ 5.15.0 (localhost, ID:x250-2-PC-61240-1504259067321-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-09-01 17:44:28,422 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-09-01 17:44:29,457 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2017-09-01 17:44:29,702 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-09-01 17:44:29,702 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-09-01 17:44:29,779 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2017-09-01 17:44:30,188 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2017-09-01 17:44:30,442 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
